station,sequence,origin,turbidity_ntu,ph,temperature_c,forecast_h6_ntu,alum_percent,chlorine_percent,global_round,algorithm
austin,26,PUBLISHED_FIELD,0.53,9.32,27.12,0.5527657639132397,19.215995267870703,11.852261389882,2,RG_AdaFedResidual
tongji,26,PUBLISHED_FIELD,21.19,7.86,8.98,25.437996777396165,20.19726902742709,9.881822997716853,2,RG_AdaFedResidual
virtual,26,DISCLOSED_DIGITAL_TWIN,0.29,9.37,26.88,0.3165683337914886,20.041527963031616,12.540185980973323,2,RG_AdaFedResidual
austin,27,PUBLISHED_FIELD,0.52,9.26,27.0,0.5487667382562396,18.86954546079672,11.80923286021098,2,RG_AdaFedResidual
tongji,27,PUBLISHED_FIELD,19.5,7.91,12.23,23.76204296914852,20.037035794507304,9.813416719829192,2,RG_AdaFedResidual
virtual,27,DISCLOSED_DIGITAL_TWIN,0.26,9.38,27.09,0.2811787266337396,20.0322593606261,12.618568170360405,2,RG_AdaFedResidual
austin,28,PUBLISHED_FIELD,0.56,9.28,26.87,0.5460927460994985,18.99869768315867,11.763285714285711,2,RG_AdaFedResidual
tongji,28,PUBLISHED_FIELD,16.53,7.84,9.42,23.466905915387727,19.57939297974151,9.80137030947161,2,RG_AdaFedResidual
virtual,28,DISCLOSED_DIGITAL_TWIN,0.27,9.39,27.15,0.2671284935835795,20.069197773341493,12.640914285714286,2,RG_AdaFedResidual
austin,29,PUBLISHED_FIELD,0.54,9.28,27.03,0.5483592937294263,18.982616231362947,11.819929684016977,2,RG_AdaFedResidual
tongji,29,PUBLISHED_FIELD,23.99,7.85,9.18,22.63183046548885,19.77034240714916,9.822721088435374,2,RG_AdaFedResidual
virtual,29,DISCLOSED_DIGITAL_TWIN,0.32,9.42,27.09,0.2768841951245748,20.34561651350185,12.620342857142855,2,RG_AdaFedResidual
austin,30,PUBLISHED_FIELD,0.54,9.32,27.0,0.5466390025435659,19.20749874323604,11.80914167153758,2,RG_AdaFedResidual
tongji,30,PUBLISHED_FIELD,18.98,7.86,9.14,21.99063217153225,19.296395800108453,9.741114238293836,2,RG_AdaFedResidual
virtual,30,DISCLOSED_DIGITAL_TWIN,0.34,9.42,27.18,0.3210268396648633,20.382677257451423,12.65554285714286,2,RG_AdaFedResidual
austin,31,PUBLISHED_FIELD,0.54,9.28,26.87,0.5475272543683793,18.98146061938798,11.76275116804436,2,RG_AdaFedResidual
tongji,31,PUBLISHED_FIELD,18.35,7.83,9.99,20.86534785644659,18.82821899289004,9.69518426624952,2,RG_AdaFedResidual
virtual,31,DISCLOSED_DIGITAL_TWIN,0.35,9.39,27.12,0.3334419490376535,20.222244173421693,12.63314285714286,2,RG_AdaFedResidual
austin,32,PUBLISHED_FIELD,0.53,9.3,26.86,0.5464562904766187,19.093608305707864,11.759133841020429,2,RG_AdaFedResidual
tongji,32,PUBLISHED_FIELD,18.97,7.78,10.7,19.42774273072264,18.15757453603836,9.63650650601589,2,RG_AdaFedResidual
virtual,32,DISCLOSED_DIGITAL_TWIN,0.35,9.41,27.08,0.3466196410286106,20.34129179246931,12.61790476190476,2,RG_AdaFedResidual
